Category,Phrase
Phrase,I'M Joking
Movie Title,…And Justice For All
Song Lyrics,‘Cause You Were Mine For The Summer
Before and After,'tis The Season Tickets
Before and After,‘Tis The Season Tickets
Phrase,A Bad Scene
Food and Drink,A Bag Full Of Blue M&M's
Food and Drink,A Bag Of Baby Spinach
Food and Drink,A Bag Of Blue M&M's
In the Kitchen,A Bag Of Green Vegetables
Phrase,A Bargain At Half The Price
Phrase,A Bargain Hunter's Dream
Thing,A Basket Full Of Fresh Fruit
Phrase,A Beach For Every Day Of The Year
Phrase,A Beautiful Bouquet Of Red Roses For You
Phrase,A Beautiful Bouquet Of Red Roses For You!
Thing,A Beautiful Fall Day
Before and After,A Beautiful Life Jacket
Movie Title,A Beautiful Mind
Movie Title,A Beautiful Planet
Song Lyrics,A Beautiful Sight We're Happy Tonight
Song Lyrics,A Beautiful Sight Were Happy To Night.
Thing,A Beautiful Strand Of Pearls
Rhyme Time,A Beautiful View Of Peru
Place,A Bed & Breakfast Along The Coast
Person,A Bellhop Wearing A Fez
Food and Drink,A Bellyful Of Sugar
Thing,A Bellyful Of Sugar
Song Title,A Bend In The River
Title,A Bend In The River
People,A Bevy Of Blonde Beauties
Event,A Bicycle Tour
Event,A Big Bash
Food and Drink,A Big Batch Of Hot Chili
Thing,A Big Bear Hug
Food and Drink,A Big Box Of Assorted Chocolates
Event,A Big Decision
Event,A Big Family Gathering
Thing,A Big Hint
Rhyme Time,A Big Mac Is A Good Snack
Event,A Big Night Out
Food and Drink,A Big Plate Of Spaghetti
Food and Drink,A Big Pot Of Corned Beef And Cabbage
Food and Drink,A Big Pot Of Irish Stew
Thing,A Big Promotion With A Pay Raise
Event,A Big Win
Thing,A Big Win
Phrase,A Bigger Bang For Your Buck
Movie Title,A Bigger Splash
Thing,A Bike Rack
Event,A Bike Tour Through Europe
Phrase,A Bird In The Hand Is Two In Bush
Phrase,A Bird In The Hand Is Worth Two In The Bush
Phrase,A Bird In The Is Worth Two In The Brush
Phrase,A Bitter Pill To Swallow
Before and After,A Blast From The Past Present And Future
Before and After,"A Blast From The Past, Present, And Future"
Phrase,A Blending Of Cultures
Phrase,A Blessing In Disguise
Place,A Boat Ride On An Underground Lake
Event,A Boat Trip On Crater Lake
Event,A Boat Trip On Lake Erie
Food and Drink,A Bottle Of Dry Sherry
In the Kitchen,A Bottle Of Dry Sherry
Food and Drink,A Bottle Of Ice-Cold Jones Cream Soda
In the Kitchen,A Bottle Of Liquid Smoke
Thing,A Bouquet Of Balloons
Thing,A Bouquet Of Morning Glories
Thing,A Bouquet Of Roses For Mom
Thing,A Boutique Of Morning Glories
Food and Drink,A Bowl Of After- Dinner Mints
Food and Drink,A Bowl Of After-Dinner Mints
Food and Drink,A Bowl Of Boston Baked Beans
Thing,A Bowl Of Boston Baked Beans
Food and Drink,A Bowl Of Fresh Berries
Food and Drink,A Bowl Of Fried Okra
Food and Drink,A Bowl Of Homemade Warm Biscuits
Thing,A Bowl Of Lucky Charms Cereal
Food and Drink,A Bowl Of Pico De Gallo With Chips
Food and Drink,A Bowl Of Warm Biscuits
Food and Drink,A Bowl Of Warm Corned Beef & Cabbage
Food and Drink,A Bowl Of Warm Homemade Biscuits
Food and Drink,A Bowl Of Wonton Noodles
Food and Drink,A Box Of Chewy Caramels
Food and Drink,A Box Of Cracker Jacks
Food and Drink,A Box Of Fresh Doughnuts
Rhyme Time,A Box Of Lox
Thing,A Brand New Toy Fire Engine
Thing,A Brand-New Toy Fire Engine
Food and Drink,A Breakfast Of Green Eggs And Ham
Event,A Brewing Romance
Event,A Brief Cold Snap
Place,A Brief Cold Snap
Event,A Brief Encounter
Phrase,A Bright Future
Fun and Games,A Brisk Jog
Thing,A Brisk Pace
Title,A Bronx Tale
Food and Drink,A Bucket Of Buffalo Wings
Thing,A Bucket Of Chicken Legs & Thighs
Food and Drink,A Bucket Of Spicy Buffalo Wings
Title,A Bug's Life
Thing,A Bunch Of Bananas
Place,A Bungalow On The Water
Place,A Busy Thoroughfare
Thing,A Camera Hanging Around My Neck
Food and Drink,A Can Of Condensed Tomato Soup
